Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,711.396320,0.000000,0
Key Generation,4096,1223.643060,0.000000,0
RSA Encrypt,3072,0.135233,0.225666,32
RSA Decrypt,3072,12.038511,0.002535,32
RSA Encrypt,4096,0.143178,0.213145,32
RSA Decrypt,4096,15.731913,0.001940,32
Hybrid Encrypt (1 KB),3072,0.183542,5.320649,1024
Hybrid Decrypt (1 KB),3072,12.061472,0.080965,1024
Hybrid Encrypt (1 MB),3072,5.445430,183.640227,1048576
Hybrid Decrypt (1 MB),3072,22.711510,44.030538,1048576
Hybrid Encrypt (100 MB),3072,496.496500,201.411289,104857600
Hybrid Decrypt (100 MB),3072,1091.214300,91.641028,104857600
