Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,762.603960,0.000000,0
Key Generation,4096,790.386360,0.000000,0
RSA Encrypt,3072,0.148222,0.205891,32
RSA Decrypt,3072,12.459055,0.002449,32
RSA Encrypt,4096,0.161740,0.188683,32
RSA Decrypt,4096,16.336575,0.001868,32
Hybrid Encrypt (1 KB),3072,0.184590,5.290441,1024
Hybrid Decrypt (1 KB),3072,12.139220,0.080447,1024
Hybrid Encrypt (1 MB),3072,5.733770,174.405321,1048576
Hybrid Decrypt (1 MB),3072,23.614330,42.347168,1048576
Hybrid Encrypt (100 MB),3072,524.431100,190.682818,104857600
Hybrid Decrypt (100 MB),3072,1103.347800,90.633253,104857600
