Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,540.985300,0.000000,0
Key Generation,4096,1491.171920,0.000000,0
RSA Encrypt,3072,0.138504,0.220338,32
RSA Decrypt,3072,12.219169,0.002498,32
RSA Encrypt,4096,0.148299,0.205784,32
RSA Decrypt,4096,16.198879,0.001884,32
Hybrid Encrypt (1 KB),3072,0.196098,4.979972,1024
Hybrid Decrypt (1 KB),3072,12.772486,0.076458,1024
Hybrid Encrypt (1 MB),3072,6.124970,163.266106,1048576
Hybrid Decrypt (1 MB),3072,25.984050,38.485148,1048576
Hybrid Encrypt (100 MB),3072,551.706000,181.255959,104857600
Hybrid Decrypt (100 MB),3072,1155.327400,86.555551,104857600
