Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,378.768420,0.000000,0
Key Generation,4096,1663.030840,0.000000,0
RSA Encrypt,3072,0.156448,0.195066,32
RSA Decrypt,3072,13.669055,0.002233,32
RSA Encrypt,4096,0.163413,0.186751,32
RSA Decrypt,4096,17.014030,0.001794,32
Hybrid Encrypt (1 KB),3072,0.183534,5.320881,1024
Hybrid Decrypt (1 KB),3072,13.178560,0.074102,1024
Hybrid Encrypt (1 MB),3072,7.174960,139.373599,1048576
Hybrid Decrypt (1 MB),3072,25.564390,39.116912,1048576
Hybrid Encrypt (100 MB),3072,511.761200,195.403637,104857600
Hybrid Decrypt (100 MB),3072,1298.259900,77.026179,104857600
