Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,752.424780,0.000000,0
Key Generation,4096,1108.049040,0.000000,0
RSA Encrypt,3072,0.151863,0.200954,32
RSA Decrypt,3072,13.452798,0.002268,32
RSA Encrypt,4096,0.156969,0.194418,32
RSA Decrypt,4096,17.984081,0.001697,32
Hybrid Encrypt (1 KB),3072,0.185716,5.258365,1024
Hybrid Decrypt (1 KB),3072,13.594884,0.071833,1024
Hybrid Encrypt (1 MB),3072,5.673550,176.256488,1048576
Hybrid Decrypt (1 MB),3072,25.878010,38.642848,1048576
Hybrid Encrypt (100 MB),3072,556.703000,179.628994,104857600
Hybrid Decrypt (100 MB),3072,1245.395300,80.295790,104857600
