Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,688.801440,0.000000,0
Key Generation,4096,786.009840,0.000000,0
RSA Encrypt,3072,0.160033,0.190696,32
RSA Decrypt,3072,14.056372,0.002171,32
RSA Encrypt,4096,0.165508,0.184387,32
RSA Decrypt,4096,17.533505,0.001741,32
Hybrid Encrypt (1 KB),3072,0.182520,5.350441,1024
Hybrid Decrypt (1 KB),3072,13.225762,0.073838,1024
Hybrid Encrypt (1 MB),3072,6.645330,150.481616,1048576
Hybrid Decrypt (1 MB),3072,25.657510,38.974943,1048576
Hybrid Encrypt (100 MB),3072,537.175700,186.158830,104857600
Hybrid Decrypt (100 MB),3072,1173.200000,85.236959,104857600
