Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,952.043300,0.000000,0
Key Generation,4096,889.707840,0.000000,0
RSA Encrypt,3072,0.135996,0.224401,32
RSA Decrypt,3072,11.959244,0.002552,32
RSA Encrypt,4096,0.143218,0.213084,32
RSA Decrypt,4096,15.893764,0.001920,32
Hybrid Encrypt (1 KB),3072,0.183514,5.321460,1024
Hybrid Decrypt (1 KB),3072,11.948726,0.081729,1024
Hybrid Encrypt (1 MB),3072,5.482420,182.401202,1048576
Hybrid Decrypt (1 MB),3072,22.721270,44.011624,1048576
Hybrid Encrypt (100 MB),3072,503.184000,198.734459,104857600
Hybrid Decrypt (100 MB),3072,1091.708300,91.599560,104857600
