Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,183.980060,0.000000,0
Key Generation,4096,393.804200,0.000000,0
RSA Encrypt,3072,0.041835,0.729477,32
RSA Decrypt,3072,4.766820,0.006402,32
RSA Encrypt,4096,0.045484,0.670947,32
RSA Decrypt,4096,6.084045,0.005016,32
Hybrid Encrypt (1 KB),3072,0.068764,14.201653,1024
Hybrid Decrypt (1 KB),3072,4.284764,0.227915,1024
Hybrid Encrypt (1 MB),3072,2.308620,433.159203,1048576
Hybrid Decrypt (1 MB),3072,6.524710,153.263517,1048576
Hybrid Encrypt (100 MB),3072,126.151000,792.700811,104857600
Hybrid Decrypt (100 MB),3072,175.313700,570.406078,104857600
