Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,532.400320,0.000000,0
Key Generation,4096,1309.935040,0.000000,0
RSA Encrypt,3072,0.135538,0.225159,32
RSA Decrypt,3072,11.916918,0.002561,32
RSA Encrypt,4096,0.145431,0.209843,32
RSA Decrypt,4096,15.730253,0.001940,32
Hybrid Encrypt (1 KB),3072,0.184496,5.293136,1024
Hybrid Decrypt (1 KB),3072,12.065616,0.080938,1024
Hybrid Encrypt (1 MB),3072,5.596470,178.684063,1048576
Hybrid Decrypt (1 MB),3072,22.747420,43.961029,1048576
Hybrid Encrypt (100 MB),3072,499.454600,200.218398,104857600
Hybrid Decrypt (100 MB),3072,1094.178900,91.392733,104857600
