Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,460.574340,0.000000,0
Key Generation,4096,1162.922100,0.000000,0
RSA Encrypt,3072,0.139252,0.219153,32
RSA Decrypt,3072,12.335283,0.002474,32
RSA Encrypt,4096,0.152550,0.200049,32
RSA Decrypt,4096,17.335491,0.001760,32
Hybrid Encrypt (1 KB),3072,0.186188,5.245035,1024
Hybrid Decrypt (1 KB),3072,12.072266,0.080893,1024
Hybrid Encrypt (1 MB),3072,5.570320,179.522900,1048576
Hybrid Decrypt (1 MB),3072,24.230550,41.270215,1048576
Hybrid Encrypt (100 MB),3072,539.753400,185.269792,104857600
Hybrid Decrypt (100 MB),3072,1126.086800,88.803101,104857600
