Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,552.121160,0.000000,0
Key Generation,4096,1007.986380,0.000000,0
RSA Encrypt,3072,0.139420,0.218890,32
RSA Decrypt,3072,12.294174,0.002482,32
RSA Encrypt,4096,0.146943,0.207683,32
RSA Decrypt,4096,16.094611,0.001896,32
Hybrid Encrypt (1 KB),3072,0.188106,5.191554,1024
Hybrid Decrypt (1 KB),3072,12.321664,0.079256,1024
Hybrid Encrypt (1 MB),3072,5.599580,178.584822,1048576
Hybrid Decrypt (1 MB),3072,23.228470,43.050618,1048576
Hybrid Encrypt (100 MB),3072,528.095000,189.359869,104857600
Hybrid Decrypt (100 MB),3072,1144.764000,87.354249,104857600
