Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,548.411600,0.000000,0
Key Generation,4096,617.135620,0.000000,0
RSA Encrypt,3072,0.135953,0.224472,32
RSA Decrypt,3072,11.942603,0.002555,32
RSA Encrypt,4096,0.142784,0.213733,32
RSA Decrypt,4096,15.620230,0.001954,32
Hybrid Encrypt (1 KB),3072,0.181482,5.381043,1024
Hybrid Decrypt (1 KB),3072,11.968178,0.081597,1024
Hybrid Encrypt (1 MB),3072,5.543750,180.383315,1048576
Hybrid Decrypt (1 MB),3072,22.725240,44.003936,1048576
Hybrid Encrypt (100 MB),3072,497.127400,201.155680,104857600
Hybrid Decrypt (100 MB),3072,1091.380200,91.627098,104857600
