Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,631.255020,0.000000,0
Key Generation,4096,848.278760,0.000000,0
RSA Encrypt,3072,0.137049,0.222677,32
RSA Decrypt,3072,12.098455,0.002522,32
RSA Encrypt,4096,0.142541,0.214097,32
RSA Decrypt,4096,15.673557,0.001947,32
Hybrid Encrypt (1 KB),3072,0.183192,5.330814,1024
Hybrid Decrypt (1 KB),3072,12.057200,0.080994,1024
Hybrid Encrypt (1 MB),3072,5.501070,181.782817,1048576
Hybrid Decrypt (1 MB),3072,22.862720,43.739328,1048576
Hybrid Encrypt (100 MB),3072,503.035400,198.793166,104857600
Hybrid Decrypt (100 MB),3072,1113.111400,89.838268,104857600
