Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,631.400040,0.000000,0
Key Generation,4096,785.083080,0.000000,0
RSA Encrypt,3072,0.154203,0.197905,32
RSA Decrypt,3072,13.312624,0.002292,32
RSA Encrypt,4096,0.157292,0.194019,32
RSA Decrypt,4096,16.578735,0.001841,32
Hybrid Encrypt (1 KB),3072,0.415894,2.348104,1024
Hybrid Decrypt (1 KB),3072,13.125686,0.074401,1024
Hybrid Encrypt (1 MB),3072,5.737390,174.295281,1048576
Hybrid Decrypt (1 MB),3072,28.313580,35.318741,1048576
Hybrid Encrypt (100 MB),3072,581.299000,172.028509,104857600
Hybrid Decrypt (100 MB),3072,1185.175200,84.375711,104857600
