Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,701.804020,0.000000,0
Key Generation,4096,1354.713160,0.000000,0
RSA Encrypt,3072,0.137874,0.221345,32
RSA Decrypt,3072,11.972078,0.002549,32
RSA Encrypt,4096,0.143503,0.212661,32
RSA Decrypt,4096,15.777137,0.001934,32
Hybrid Encrypt (1 KB),3072,0.183194,5.330756,1024
Hybrid Decrypt (1 KB),3072,12.187006,0.080131,1024
Hybrid Encrypt (1 MB),3072,5.523960,181.029551,1048576
Hybrid Decrypt (1 MB),3072,22.966610,43.541472,1048576
Hybrid Encrypt (100 MB),3072,508.252400,196.752637,104857600
Hybrid Decrypt (100 MB),3072,1101.109300,90.817506,104857600
