Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,938.307460,0.000000,0
Key Generation,4096,1405.102940,0.000000,0
RSA Encrypt,3072,0.135738,0.224828,32
RSA Decrypt,3072,12.006813,0.002542,32
RSA Encrypt,4096,0.142879,0.213591,32
RSA Decrypt,4096,15.830736,0.001928,32
Hybrid Encrypt (1 KB),3072,0.184080,5.305098,1024
Hybrid Decrypt (1 KB),3072,12.280672,0.079520,1024
Hybrid Encrypt (1 MB),3072,5.628130,177.678909,1048576
Hybrid Decrypt (1 MB),3072,23.051010,43.382047,1048576
Hybrid Encrypt (100 MB),3072,508.587700,196.622923,104857600
Hybrid Decrypt (100 MB),3072,1138.275000,87.852233,104857600
