Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,629.638680,0.000000,0
Key Generation,4096,693.121180,0.000000,0
RSA Encrypt,3072,0.147702,0.206617,32
RSA Decrypt,3072,13.156432,0.002320,32
RSA Encrypt,4096,0.165315,0.184603,32
RSA Decrypt,4096,17.697706,0.001724,32
Hybrid Encrypt (1 KB),3072,0.181932,5.367734,1024
Hybrid Decrypt (1 KB),3072,13.832836,0.070597,1024
Hybrid Encrypt (1 MB),3072,6.703330,149.179587,1048576
Hybrid Decrypt (1 MB),3072,27.259980,36.683813,1048576
Hybrid Encrypt (100 MB),3072,543.163400,184.106661,104857600
Hybrid Decrypt (100 MB),3072,1229.415100,81.339492,104857600
