Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,618.154760,0.000000,0
Key Generation,4096,1017.777680,0.000000,0
RSA Encrypt,3072,0.136818,0.223053,32
RSA Decrypt,3072,11.967006,0.002550,32
RSA Encrypt,4096,0.143544,0.212601,32
RSA Decrypt,4096,15.701222,0.001944,32
Hybrid Encrypt (1 KB),3072,0.181820,5.371040,1024
Hybrid Decrypt (1 KB),3072,12.010562,0.081309,1024
Hybrid Encrypt (1 MB),3072,5.499900,181.821488,1048576
Hybrid Decrypt (1 MB),3072,22.713560,44.026564,1048576
Hybrid Encrypt (100 MB),3072,503.049800,198.787476,104857600
Hybrid Decrypt (100 MB),3072,1088.045300,91.907938,104857600
