Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,480.795860,0.000000,0
Key Generation,4096,1456.980500,0.000000,0
RSA Encrypt,3072,0.151512,0.201421,32
RSA Decrypt,3072,13.381906,0.002281,32
RSA Encrypt,4096,0.159980,0.190759,32
RSA Decrypt,4096,17.426606,0.001751,32
Hybrid Encrypt (1 KB),3072,0.184274,5.299513,1024
Hybrid Decrypt (1 KB),3072,13.388816,0.072939,1024
Hybrid Encrypt (1 MB),3072,5.979290,167.243937,1048576
Hybrid Decrypt (1 MB),3072,24.723490,40.447364,1048576
Hybrid Encrypt (100 MB),3072,551.006300,181.486128,104857600
Hybrid Decrypt (100 MB),3072,1168.441400,85.584095,104857600
