Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,432.281620,0.000000,0
Key Generation,4096,605.497580,0.000000,0
RSA Encrypt,3072,0.139438,0.218861,32
RSA Decrypt,3072,13.640338,0.002237,32
RSA Encrypt,4096,0.160202,0.190495,32
RSA Decrypt,4096,18.136629,0.001683,32
Hybrid Encrypt (1 KB),3072,0.189000,5.166997,1024
Hybrid Decrypt (1 KB),3072,13.521386,0.072224,1024
Hybrid Encrypt (1 MB),3072,6.541360,152.873409,1048576
Hybrid Decrypt (1 MB),3072,31.790010,31.456423,1048576
Hybrid Encrypt (100 MB),3072,606.903300,164.770895,104857600
Hybrid Decrypt (100 MB),3072,1509.276600,66.256907,104857600
