Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,761.091400,0.000000,0
Key Generation,4096,1502.282940,0.000000,0
RSA Encrypt,3072,0.140617,0.217025,32
RSA Decrypt,3072,12.292909,0.002483,32
RSA Encrypt,4096,0.147747,0.206553,32
RSA Decrypt,4096,16.233497,0.001880,32
Hybrid Encrypt (1 KB),3072,0.184978,5.279344,1024
Hybrid Decrypt (1 KB),3072,12.300160,0.079394,1024
Hybrid Encrypt (1 MB),3072,5.824080,171.700938,1048576
Hybrid Decrypt (1 MB),3072,23.408210,42.720054,1048576
Hybrid Encrypt (100 MB),3072,542.132400,184.456786,104857600
Hybrid Decrypt (100 MB),3072,1154.464300,86.620262,104857600
