Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,821.473760,0.000000,0
Key Generation,4096,525.721700,0.000000,0
RSA Encrypt,3072,0.150776,0.202403,32
RSA Decrypt,3072,13.519689,0.002257,32
RSA Encrypt,4096,0.165408,0.184498,32
RSA Decrypt,4096,18.216411,0.001675,32
Hybrid Encrypt (1 KB),3072,0.189378,5.156684,1024
Hybrid Decrypt (1 KB),3072,12.524826,0.077970,1024
Hybrid Encrypt (1 MB),3072,5.617560,178.013230,1048576
Hybrid Decrypt (1 MB),3072,27.567590,36.274480,1048576
Hybrid Encrypt (100 MB),3072,536.082300,186.538522,104857600
Hybrid Decrypt (100 MB),3072,1161.442600,86.099821,104857600
