Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,510.082880,0.000000,0
Key Generation,4096,998.323760,0.000000,0
RSA Encrypt,3072,0.142529,0.214115,32
RSA Decrypt,3072,12.396714,0.002462,32
RSA Encrypt,4096,0.146817,0.207861,32
RSA Decrypt,4096,16.125646,0.001892,32
Hybrid Encrypt (1 KB),3072,0.190640,5.122548,1024
Hybrid Decrypt (1 KB),3072,12.278014,0.079537,1024
Hybrid Encrypt (1 MB),3072,5.822250,171.754906,1048576
Hybrid Decrypt (1 MB),3072,23.266880,42.979549,1048576
Hybrid Encrypt (100 MB),3072,533.022300,187.609411,104857600
Hybrid Decrypt (100 MB),3072,1141.715700,87.587479,104857600
