Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,1199.585560,0.000000,0
Key Generation,4096,1000.668360,0.000000,0
RSA Encrypt,3072,0.137329,0.222223,32
RSA Decrypt,3072,12.112879,0.002519,32
RSA Encrypt,4096,0.144590,0.211063,32
RSA Decrypt,4096,16.021690,0.001905,32
Hybrid Encrypt (1 KB),3072,0.187114,5.219078,1024
Hybrid Decrypt (1 KB),3072,12.031498,0.081167,1024
Hybrid Encrypt (1 MB),3072,5.699470,175.454911,1048576
Hybrid Decrypt (1 MB),3072,22.707630,44.038061,1048576
Hybrid Encrypt (100 MB),3072,505.368100,197.875568,104857600
Hybrid Decrypt (100 MB),3072,1130.803200,88.432718,104857600
