Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,706.284540,0.000000,0
Key Generation,4096,1956.007820,0.000000,0
RSA Encrypt,3072,0.167731,0.181944,32
RSA Decrypt,3072,18.694782,0.001632,32
RSA Encrypt,4096,0.161694,0.188736,32
RSA Decrypt,4096,17.282386,0.001766,32
Hybrid Encrypt (1 KB),3072,0.186372,5.239856,1024
Hybrid Decrypt (1 KB),3072,12.061062,0.080968,1024
Hybrid Encrypt (1 MB),3072,5.548030,180.244159,1048576
Hybrid Decrypt (1 MB),3072,22.646680,44.156583,1048576
Hybrid Encrypt (100 MB),3072,506.353300,197.490566,104857600
Hybrid Decrypt (100 MB),3072,1085.674200,92.108664,104857600
