Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,650.859840,0.000000,0
Key Generation,4096,1601.580360,0.000000,0
RSA Encrypt,3072,0.139173,0.219278,32
RSA Decrypt,3072,12.248146,0.002492,32
RSA Encrypt,4096,0.146697,0.208031,32
RSA Decrypt,4096,16.056272,0.001901,32
Hybrid Encrypt (1 KB),3072,0.186050,5.248925,1024
Hybrid Decrypt (1 KB),3072,12.404184,0.078728,1024
Hybrid Encrypt (1 MB),3072,5.647160,177.080161,1048576
Hybrid Decrypt (1 MB),3072,23.287400,42.941677,1048576
Hybrid Encrypt (100 MB),3072,529.666500,188.798046,104857600
Hybrid Decrypt (100 MB),3072,1131.471500,88.380485,104857600
