Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,551.750720,0.000000,0
Key Generation,4096,1006.751500,0.000000,0
RSA Encrypt,3072,0.155155,0.196691,32
RSA Decrypt,3072,14.484659,0.002107,32
RSA Encrypt,4096,0.163189,0.187008,32
RSA Decrypt,4096,17.237363,0.001770,32
Hybrid Encrypt (1 KB),3072,0.181232,5.388466,1024
Hybrid Decrypt (1 KB),3072,13.728580,0.071134,1024
Hybrid Encrypt (1 MB),3072,5.777980,173.070866,1048576
Hybrid Decrypt (1 MB),3072,24.436560,40.922290,1048576
Hybrid Encrypt (100 MB),3072,591.732300,168.995338,104857600
Hybrid Decrypt (100 MB),3072,1220.713900,81.919277,104857600
