Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,497.632660,0.000000,0
Key Generation,4096,1068.734740,0.000000,0
RSA Encrypt,3072,0.155889,0.195764,32
RSA Decrypt,3072,13.644746,0.002237,32
RSA Encrypt,4096,0.164549,0.185462,32
RSA Decrypt,4096,17.375322,0.001756,32
Hybrid Encrypt (1 KB),3072,0.183992,5.307636,1024
Hybrid Decrypt (1 KB),3072,13.329684,0.073262,1024
Hybrid Encrypt (1 MB),3072,5.704290,175.306655,1048576
Hybrid Decrypt (1 MB),3072,24.705140,40.477407,1048576
Hybrid Encrypt (100 MB),3072,570.562000,175.265791,104857600
Hybrid Decrypt (100 MB),3072,1196.661800,83.565799,104857600
