Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0054899,0.0047095,191.494,1000,Non-AEAD,block
AES-256-CBC,4096,0.0064912,0.0038248,757.319,1000,Non-AEAD,block
AES-256-CBC,16384,0.0307345,0.0084306,797.904,1000,Non-AEAD,block
AES-256-CBC,262144,0.408137,0.095931,991.929,1000,Non-AEAD,block
AES-256-CBC,1048576,1.32942,0.45504,1120.79,1000,Non-AEAD,block
AES-256-CBC,8388608,16.1577,6.70987,699.682,1000,Non-AEAD,block
AES-256-CTR,1024,0.0024124,0.002389,406.782,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0026435,0.0026429,1477.85,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0064637,0.0064347,2422.78,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0799989,0.0794086,3136.62,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.530603,0.524379,1895.77,1000,Non-AEAD,stream
AES-256-CTR,8388608,6.23499,6.52065,1254.35,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0040572,0.005249,209.874,1000,AEAD,block
AES-256-GCM,4096,0.0036448,0.004481,961.444,1000,AEAD,block
AES-256-GCM,16384,0.0091423,0.0095728,1669.77,1000,AEAD,block
AES-256-GCM,262144,0.089455,0.083518,2890.62,1000,AEAD,block
AES-256-GCM,1048576,0.865751,0.598818,1365.59,1000,AEAD,block
AES-256-GCM,8388608,10.6699,7.83464,864.654,1000,AEAD,block
AES-256-CCM,1024,0.0031879,0.0039578,273.329,1000,AEAD,block
AES-256-CCM,4096,0.012844,0.0144698,286.028,1000,AEAD,block
AES-256-CCM,16384,0.0374976,0.0382974,412.296,1000,AEAD,block
AES-256-CCM,262144,0.475244,0.463812,532.45,1000,AEAD,block
AES-256-CCM,1048576,1.99352,1.64976,548.957,1000,AEAD,block
AES-256-CCM,8388608,19.0795,16.1843,453.724,1000,AEAD,block
