Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0037668,0.0030404,286.92,1000,Non-AEAD,block
AES-256-CBC,4096,0.0054526,0.0028785,937.751,1000,Non-AEAD,block
AES-256-CBC,16384,0.0280817,0.0073461,882.076,1000,Non-AEAD,block
AES-256-CBC,262144,0.403061,0.092597,1008.76,1000,Non-AEAD,block
AES-256-CBC,1048576,1.36906,0.463707,1091.24,1000,Non-AEAD,block
AES-256-CBC,8388608,12.4662,5.25273,902.988,1000,Non-AEAD,block
AES-256-CTR,1024,0.0021526,0.0021289,456.178,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0026151,0.0026511,1483.52,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0056476,0.0055993,2778.54,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0593628,0.0588751,4228.76,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.400947,0.401666,2491.86,1000,Non-AEAD,stream
AES-256-CTR,8388608,5.55842,5.70855,1420.08,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0024376,0.0032106,345.796,1000,AEAD,block
AES-256-GCM,4096,0.0034619,0.0041759,1022.87,1000,AEAD,block
AES-256-GCM,16384,0.0074834,0.0079031,2031,1000,AEAD,block
AES-256-GCM,262144,0.0882968,0.0822157,2932.34,1000,AEAD,block
AES-256-GCM,1048576,0.753198,0.521524,1568.97,1000,AEAD,block
AES-256-GCM,8388608,8.33065,5.96537,1119.19,1000,AEAD,block
AES-256-CCM,1024,0.0031268,0.003937,276.498,1000,AEAD,block
AES-256-CCM,4096,0.0058281,0.0065438,631.471,1000,AEAD,block
AES-256-CCM,16384,0.0185747,0.018983,832.053,1000,AEAD,block
AES-256-CCM,262144,0.254334,0.2475,996.346,1000,AEAD,block
AES-256-CCM,1048576,1.46789,1.20251,748.95,1000,AEAD,block
AES-256-CCM,8388608,13.9209,11.5273,628.727,1000,AEAD,block
