Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0045713,0.0038327,232.404,1000,Non-AEAD,block
AES-256-CBC,4096,0.0056868,0.0031064,888.471,1000,Non-AEAD,block
AES-256-CBC,16384,0.0286865,0.0073729,866.626,1000,Non-AEAD,block
AES-256-CBC,262144,0.389723,0.0889251,1044.61,1000,Non-AEAD,block
AES-256-CBC,1048576,1.28993,0.409733,1176.7,1000,Non-AEAD,block
AES-256-CBC,8388608,12.2235,5.08277,924.518,1000,Non-AEAD,block
AES-256-CTR,1024,0.0021819,0.002171,448.695,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0025236,0.0025418,1542.33,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0053142,0.0052795,2949.87,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0556047,0.0547387,4531.31,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.365764,0.389063,2649.61,1000,Non-AEAD,stream
AES-256-CTR,8388608,4.74581,5.0212,1638.17,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0025312,0.0032507,337.8,1000,AEAD,block
AES-256-GCM,4096,0.0033379,0.0041235,1047.06,1000,AEAD,block
AES-256-GCM,16384,0.008251,0.0086397,1850.13,1000,AEAD,block
AES-256-GCM,262144,0.0925065,0.0857497,2804.95,1000,AEAD,block
AES-256-GCM,1048576,0.727358,0.505241,1622.59,1000,AEAD,block
AES-256-GCM,8388608,8.17091,5.86265,1140.12,1000,AEAD,block
AES-256-CCM,1024,0.0031034,0.0038542,280.718,1000,AEAD,block
AES-256-CCM,4096,0.0057153,0.0064517,642.106,1000,AEAD,block
AES-256-CCM,16384,0.0182481,0.0186756,846.34,1000,AEAD,block
AES-256-CCM,262144,0.255872,0.248509,991.315,1000,AEAD,block
AES-256-CCM,1048576,1.77706,1.46315,617.245,1000,AEAD,block
AES-256-CCM,8388608,18.4157,15.5894,470.516,1000,AEAD,block
