Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0037119,0.0029801,291.86,1000,Non-AEAD,block
AES-256-CBC,4096,0.0054879,0.0029217,928.998,1000,Non-AEAD,block
AES-256-CBC,16384,0.0277611,0.0070261,898.319,1000,Non-AEAD,block
AES-256-CBC,262144,0.401907,0.0928662,1010.56,1000,Non-AEAD,block
AES-256-CBC,1048576,1.33792,0.450345,1118.4,1000,Non-AEAD,block
AES-256-CBC,8388608,12.5264,5.18989,903.125,1000,Non-AEAD,block
AES-256-CTR,1024,0.0022435,0.0022119,438.373,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0027065,0.0027157,1440.84,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0055968,0.0055567,2801.81,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0588057,0.0583616,4267.4,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.376272,0.403643,2564.38,1000,Non-AEAD,stream
AES-256-CTR,8388608,4.93306,5.18656,1581.09,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0026031,0.0034205,324.245,1000,AEAD,block
AES-256-GCM,4096,0.0033627,0.004183,1035.36,1000,AEAD,block
AES-256-GCM,16384,0.0082272,0.0087501,1840.69,1000,AEAD,block
AES-256-GCM,262144,0.0927967,0.0862745,2792.19,1000,AEAD,block
AES-256-GCM,1048576,0.728987,0.50594,1619.53,1000,AEAD,block
AES-256-GCM,8388608,8.53529,6.07901,1094.82,1000,AEAD,block
AES-256-CCM,1024,0.0031446,0.0040153,272.787,1000,AEAD,block
AES-256-CCM,4096,0.0060751,0.0068737,603.338,1000,AEAD,block
AES-256-CCM,16384,0.0188878,0.0193532,817.186,1000,AEAD,block
AES-256-CCM,262144,0.270332,0.263906,935.913,1000,AEAD,block
AES-256-CCM,1048576,1.53786,1.25295,716.637,1000,AEAD,block
AES-256-CCM,8388608,16.0665,13.497,541.208,1000,AEAD,block
