Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0057994,0.0050259,180.422,1000,Non-AEAD,block
AES-256-CBC,4096,0.0071127,0.0045045,672.494,1000,Non-AEAD,block
AES-256-CBC,16384,0.0277181,0.0071875,895.272,1000,Non-AEAD,block
AES-256-CBC,262144,0.396206,0.090535,1027.24,1000,Non-AEAD,block
AES-256-CBC,1048576,1.31319,0.431699,1146.2,1000,Non-AEAD,block
AES-256-CBC,8388608,12.6245,5.31769,891.753,1000,Non-AEAD,block
AES-256-CTR,1024,0.002236,0.0022424,436.121,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0029806,0.0029933,1307.77,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0066095,0.0065964,2366.37,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0638704,0.0631636,3935.95,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.37884,0.41093,2532.38,1000,Non-AEAD,stream
AES-256-CTR,8388608,5.03483,5.16145,1569.2,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0024821,0.003226,342.167,1000,AEAD,block
AES-256-GCM,4096,0.0031996,0.0039154,1098.03,1000,AEAD,block
AES-256-GCM,16384,0.0077462,0.0081537,1965.42,1000,AEAD,block
AES-256-GCM,262144,0.0890956,0.0827184,2910.12,1000,AEAD,block
AES-256-GCM,1048576,0.739212,0.50203,1611.29,1000,AEAD,block
AES-256-GCM,8388608,8.16078,5.8413,1142.69,1000,AEAD,block
AES-256-CCM,1024,0.0032627,0.0041418,263.775,1000,AEAD,block
AES-256-CCM,4096,0.0063823,0.007191,575.579,1000,AEAD,block
AES-256-CCM,16384,0.0201275,0.0206402,766.538,1000,AEAD,block
AES-256-CCM,262144,0.266848,0.259769,949.456,1000,AEAD,block
AES-256-CCM,1048576,1.46621,1.19473,751.614,1000,AEAD,block
AES-256-CCM,8388608,13.6155,11.3057,642.023,1000,AEAD,block
