Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.003703,0.0029962,291.546,1000,Non-AEAD,block
AES-256-CBC,4096,0.0055317,0.0029117,925.279,1000,Non-AEAD,block
AES-256-CBC,16384,0.0281974,0.007246,881.687,1000,Non-AEAD,block
AES-256-CBC,262144,0.396951,0.0903528,1026.05,1000,Non-AEAD,block
AES-256-CBC,1048576,1.31561,0.438153,1140.4,1000,Non-AEAD,block
AES-256-CBC,8388608,12.0633,4.98287,938.628,1000,Non-AEAD,block
AES-256-CTR,1024,0.0022168,0.0022067,441.534,1000,Non-AEAD,stream
AES-256-CTR,4096,0.0026389,0.0026502,1477.09,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0054185,0.0053869,2892.07,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0552906,0.0550176,4532.75,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.36668,0.377964,2685.85,1000,Non-AEAD,stream
AES-256-CTR,8388608,4.73967,5.06862,1631.27,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0030427,0.003899,281.361,1000,AEAD,block
AES-256-GCM,4096,0.0037935,0.0047023,919.572,1000,AEAD,block
AES-256-GCM,16384,0.0085644,0.0090206,1777.08,1000,AEAD,block
AES-256-GCM,262144,0.0932077,0.0865867,2780.95,1000,AEAD,block
AES-256-GCM,1048576,0.713988,0.502786,1643.69,1000,AEAD,block
AES-256-GCM,8388608,8.40739,6.01495,1109.39,1000,AEAD,block
AES-256-CCM,1024,0.0032756,0.0041526,262.934,1000,AEAD,block
AES-256-CCM,4096,0.0061851,0.0069791,593.466,1000,AEAD,block
AES-256-CCM,16384,0.019834,0.0202654,779.313,1000,AEAD,block
AES-256-CCM,262144,0.277874,0.269527,913.407,1000,AEAD,block
AES-256-CCM,1048576,1.46824,1.22831,741.687,1000,AEAD,block
AES-256-CCM,8388608,16.5378,13.7807,527.731,1000,AEAD,block
