Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0036052,0.0029088,299.835,1000,Non-AEAD,block
AES-256-CBC,4096,0.0055375,0.0030056,914.481,1000,Non-AEAD,block
AES-256-CBC,16384,0.0269181,0.0070757,919.285,1000,Non-AEAD,block
AES-256-CBC,262144,0.400078,0.0918203,1016.47,1000,Non-AEAD,block
AES-256-CBC,1048576,1.30859,0.462693,1129.12,1000,Non-AEAD,block
AES-256-CBC,8388608,11.7241,5.04605,954.075,1000,Non-AEAD,block
AES-256-CTR,1024,0.0022253,0.002203,441.055,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00293,0.0029393,1331.08,1000,Non-AEAD,stream
AES-256-CTR,16384,0.0063509,0.0063152,2467.22,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0626571,0.061991,4011.29,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.381911,0.376881,2635.77,1000,Non-AEAD,stream
AES-256-CTR,8388608,5.17954,5.24415,1534.96,1000,Non-AEAD,stream
AES-256-GCM,1024,0.002585,0.0033965,326.528,1000,AEAD,block
AES-256-GCM,4096,0.0035391,0.0043744,987.237,1000,AEAD,block
AES-256-GCM,16384,0.0085181,0.0089892,1784.97,1000,AEAD,block
AES-256-GCM,262144,0.0959313,0.0890287,2703.29,1000,AEAD,block
AES-256-GCM,1048576,0.679916,0.479976,1724.3,1000,AEAD,block
AES-256-GCM,8388608,8.04725,5.78247,1156.93,1000,AEAD,block
AES-256-CCM,1024,0.0031805,0.0040049,271.819,1000,AEAD,block
AES-256-CCM,4096,0.0058925,0.006648,622.982,1000,AEAD,block
AES-256-CCM,16384,0.0188899,0.0192994,818.292,1000,AEAD,block
AES-256-CCM,262144,0.265215,0.25875,954.263,1000,AEAD,block
AES-256-CCM,1048576,1.39411,1.17703,777.863,1000,AEAD,block
AES-256-CCM,8388608,13.6995,11.3698,638.231,1000,AEAD,block
