Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,188.848825,0.000000,0
Key Generation,4096,218.248643,0.000000,0
RSA Encrypt,3072,0.047924,0.636788,32
RSA Decrypt,3072,3.910975,0.007803,32
RSA Encrypt,4096,0.048590,0.628065,32
RSA Decrypt,4096,4.917813,0.006206,32
Hybrid Encrypt (1 KB),3072,0.063325,15.421320,1024
Hybrid Decrypt (1 KB),3072,3.779071,0.258413,1024
Hybrid Encrypt (1 MB),3072,2.297759,435.206727,1048576
Hybrid Decrypt (1 MB),3072,11.085430,90.208501,1048576
Hybrid Encrypt (100 MB),3072,220.593445,453.322627,104857600
Hybrid Decrypt (100 MB),3072,816.748321,122.436738,104857600
