Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,232.215753,0.000000,0
Key Generation,4096,279.625587,0.000000,0
RSA Encrypt,3072,0.044689,0.682887,32
RSA Decrypt,3072,3.682648,0.008287,32
RSA Encrypt,4096,0.048472,0.629590,32
RSA Decrypt,4096,4.855026,0.006286,32
Hybrid Encrypt (1 KB),3072,0.061928,15.769331,1024
Hybrid Decrypt (1 KB),3072,3.724044,0.262232,1024
Hybrid Encrypt (1 MB),3072,2.235649,447.297327,1048576
Hybrid Decrypt (1 MB),3072,11.086445,90.200242,1048576
Hybrid Encrypt (100 MB),3072,215.099308,464.901542,104857600
Hybrid Decrypt (100 MB),3072,792.986428,126.105563,104857600
