Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,199.113870,0.000000,0
Key Generation,4096,395.424716,0.000000,0
RSA Encrypt,3072,0.044615,0.684014,32
RSA Decrypt,3072,3.686401,0.008278,32
RSA Encrypt,4096,0.049534,0.616099,32
RSA Decrypt,4096,5.022895,0.006076,32
Hybrid Encrypt (1 KB),3072,0.062125,15.719235,1024
Hybrid Decrypt (1 KB),3072,3.718734,0.262606,1024
Hybrid Encrypt (1 MB),3072,2.243025,445.826427,1048576
Hybrid Decrypt (1 MB),3072,10.792129,92.660124,1048576
Hybrid Encrypt (100 MB),3072,219.710482,455.144420,104857600
Hybrid Decrypt (100 MB),3072,792.739628,126.144823,104857600
