Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,216.402672,0.000000,0
Key Generation,4096,209.674165,0.000000,0
RSA Encrypt,3072,0.045690,0.667923,32
RSA Decrypt,3072,3.794776,0.008042,32
RSA Encrypt,4096,0.049298,0.619046,32
RSA Decrypt,4096,4.942839,0.006174,32
Hybrid Encrypt (1 KB),3072,0.062975,15.507156,1024
Hybrid Decrypt (1 KB),3072,3.819475,0.255680,1024
Hybrid Encrypt (1 MB),3072,2.351950,425.179089,1048576
Hybrid Decrypt (1 MB),3072,11.267750,88.748861,1048576
Hybrid Encrypt (100 MB),3072,220.895648,452.702445,104857600
Hybrid Decrypt (100 MB),3072,802.980078,124.536091,104857600
