Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,303.296117,0.000000,0
Key Generation,4096,498.297753,0.000000,0
RSA Encrypt,3072,0.045116,0.676426,32
RSA Decrypt,3072,3.779259,0.008075,32
RSA Encrypt,4096,0.049192,0.620374,32
RSA Decrypt,4096,4.924407,0.006197,32
Hybrid Encrypt (1 KB),3072,0.062448,15.637906,1024
Hybrid Decrypt (1 KB),3072,3.727565,0.261984,1024
Hybrid Encrypt (1 MB),3072,2.287854,437.090828,1048576
Hybrid Decrypt (1 MB),3072,10.963248,91.213844,1048576
Hybrid Encrypt (100 MB),3072,225.454814,443.547859,104857600
Hybrid Decrypt (100 MB),3072,802.775466,124.567833,104857600
