Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,147.395126,0.000000,0
Key Generation,4096,542.834797,0.000000,0
RSA Encrypt,3072,0.047379,0.644110,32
RSA Decrypt,3072,3.809077,0.008012,32
RSA Encrypt,4096,0.050169,0.608296,32
RSA Decrypt,4096,4.979789,0.006128,32
Hybrid Encrypt (1 KB),3072,0.064956,15.034118,1024
Hybrid Decrypt (1 KB),3072,3.794830,0.257340,1024
Hybrid Encrypt (1 MB),3072,2.558188,390.901609,1048576
Hybrid Decrypt (1 MB),3072,11.139997,89.766630,1048576
Hybrid Encrypt (100 MB),3072,216.045743,462.864941,104857600
Hybrid Decrypt (100 MB),3072,826.081374,121.053450,104857600
