Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,216.419881,0.000000,0
Key Generation,4096,295.772778,0.000000,0
RSA Encrypt,3072,0.044967,0.678671,32
RSA Decrypt,3072,3.762123,0.008112,32
RSA Encrypt,4096,0.048593,0.628029,32
RSA Decrypt,4096,4.911293,0.006214,32
Hybrid Encrypt (1 KB),3072,0.061269,15.938808,1024
Hybrid Decrypt (1 KB),3072,3.695802,0.264236,1024
Hybrid Encrypt (1 MB),3072,2.233483,447.731229,1048576
Hybrid Decrypt (1 MB),3072,11.744931,85.143117,1048576
Hybrid Encrypt (100 MB),3072,223.458683,447.510021,104857600
Hybrid Decrypt (100 MB),3072,792.002972,126.262152,104857600
