Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,298.540691,0.000000,0
Key Generation,4096,359.642190,0.000000,0
RSA Encrypt,3072,0.044960,0.678766,32
RSA Decrypt,3072,3.682824,0.008286,32
RSA Encrypt,4096,0.048913,0.623913,32
RSA Decrypt,4096,4.975590,0.006133,32
Hybrid Encrypt (1 KB),3072,0.062803,15.549724,1024
Hybrid Decrypt (1 KB),3072,3.721394,0.262418,1024
Hybrid Encrypt (1 MB),3072,2.458049,406.826765,1048576
Hybrid Decrypt (1 MB),3072,10.845341,92.205493,1048576
Hybrid Encrypt (100 MB),3072,217.275102,460.246016,104857600
Hybrid Decrypt (100 MB),3072,795.177059,125.758155,104857600
