Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,207.062636,0.000000,0
Key Generation,4096,189.476645,0.000000,0
RSA Encrypt,3072,0.045825,0.665956,32
RSA Decrypt,3072,3.751533,0.008135,32
RSA Encrypt,4096,0.048707,0.626558,32
RSA Decrypt,4096,4.884899,0.006247,32
Hybrid Encrypt (1 KB),3072,0.062893,15.527478,1024
Hybrid Decrypt (1 KB),3072,3.701086,0.263858,1024
Hybrid Encrypt (1 MB),3072,2.279075,438.774522,1048576
Hybrid Decrypt (1 MB),3072,10.774326,92.813234,1048576
Hybrid Encrypt (100 MB),3072,223.643470,447.140263,104857600
Hybrid Decrypt (100 MB),3072,792.146245,126.239316,104857600
