Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,155.371407,0.000000,0
Key Generation,4096,479.150441,0.000000,0
RSA Encrypt,3072,0.047669,0.640203,32
RSA Decrypt,3072,4.255369,0.007172,32
RSA Encrypt,4096,0.049649,0.614668,32
RSA Decrypt,4096,4.945380,0.006171,32
Hybrid Encrypt (1 KB),3072,0.063907,15.280994,1024
Hybrid Decrypt (1 KB),3072,3.824448,0.255347,1024
Hybrid Encrypt (1 MB),3072,2.380050,420.159240,1048576
Hybrid Decrypt (1 MB),3072,11.676535,85.641846,1048576
Hybrid Encrypt (100 MB),3072,234.404013,426.613857,104857600
Hybrid Decrypt (100 MB),3072,859.680006,116.322352,104857600
