Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,235.946189,0.000000,0
Key Generation,4096,276.960214,0.000000,0
RSA Encrypt,3072,0.047823,0.638137,32
RSA Decrypt,3072,3.750737,0.008136,32
RSA Encrypt,4096,0.048773,0.625701,32
RSA Decrypt,4096,4.891034,0.006239,32
Hybrid Encrypt (1 KB),3072,0.063268,15.435316,1024
Hybrid Decrypt (1 KB),3072,3.715564,0.262830,1024
Hybrid Encrypt (1 MB),3072,2.233808,447.666108,1048576
Hybrid Decrypt (1 MB),3072,10.781298,92.753211,1048576
Hybrid Encrypt (100 MB),3072,215.120485,464.855776,104857600
Hybrid Decrypt (100 MB),3072,794.848951,125.810067,104857600
