Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,125.192732,0.000000,0
Key Generation,4096,213.849031,0.000000,0
RSA Encrypt,3072,0.045174,0.675554,32
RSA Decrypt,3072,3.773125,0.008088,32
RSA Encrypt,4096,0.048013,0.635608,32
RSA Decrypt,4096,4.920783,0.006202,32
Hybrid Encrypt (1 KB),3072,0.063006,15.499427,1024
Hybrid Decrypt (1 KB),3072,3.801352,0.256899,1024
Hybrid Encrypt (1 MB),3072,2.305218,433.798452,1048576
Hybrid Decrypt (1 MB),3072,11.255908,88.842233,1048576
Hybrid Encrypt (100 MB),3072,215.713508,463.577830,104857600
Hybrid Decrypt (100 MB),3072,808.041645,123.755998,104857600
