Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,128.482286,0.000000,0
Key Generation,4096,462.289360,0.000000,0
RSA Encrypt,3072,0.047240,0.646008,32
RSA Decrypt,3072,3.999711,0.007630,32
RSA Encrypt,4096,0.050320,0.606467,32
RSA Decrypt,4096,5.047947,0.006046,32
Hybrid Encrypt (1 KB),3072,0.064320,15.182813,1024
Hybrid Decrypt (1 KB),3072,3.854394,0.253363,1024
Hybrid Encrypt (1 MB),3072,2.302077,434.390298,1048576
Hybrid Decrypt (1 MB),3072,12.297300,81.318663,1048576
Hybrid Encrypt (100 MB),3072,234.930531,425.657745,104857600
Hybrid Decrypt (100 MB),3072,834.541348,119.826298,104857600
