Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,291.665795,0.000000,0
Key Generation,4096,468.560088,0.000000,0
RSA Encrypt,3072,0.045916,0.664645,32
RSA Decrypt,3072,3.686406,0.008278,32
RSA Encrypt,4096,0.048544,0.628657,32
RSA Decrypt,4096,4.860359,0.006279,32
Hybrid Encrypt (1 KB),3072,0.062152,15.712553,1024
Hybrid Decrypt (1 KB),3072,3.696017,0.264220,1024
Hybrid Encrypt (1 MB),3072,2.226628,449.109676,1048576
Hybrid Decrypt (1 MB),3072,10.937420,91.429243,1048576
Hybrid Encrypt (100 MB),3072,216.176279,462.585444,104857600
Hybrid Decrypt (100 MB),3072,792.472313,126.187374,104857600
