Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,157.844535,0.000000,0
Key Generation,4096,264.096998,0.000000,0
RSA Encrypt,3072,0.044663,0.683280,32
RSA Decrypt,3072,3.689236,0.008272,32
RSA Encrypt,4096,0.048464,0.629695,32
RSA Decrypt,4096,4.899181,0.006229,32
Hybrid Encrypt (1 KB),3072,0.064216,15.207483,1024
Hybrid Decrypt (1 KB),3072,3.764197,0.259434,1024
Hybrid Encrypt (1 MB),3072,2.308804,433.124664,1048576
Hybrid Decrypt (1 MB),3072,11.156606,89.632997,1048576
Hybrid Encrypt (100 MB),3072,220.198375,454.135958,104857600
Hybrid Decrypt (100 MB),3072,817.764721,122.284561,104857600
