Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,194.628165,0.000000,0
Key Generation,4096,312.921551,0.000000,0
RSA Encrypt,3072,0.045314,0.673471,32
RSA Decrypt,3072,3.820941,0.007987,32
RSA Encrypt,4096,0.050466,0.604721,32
RSA Decrypt,4096,4.877376,0.006257,32
Hybrid Encrypt (1 KB),3072,0.063842,15.296572,1024
Hybrid Decrypt (1 KB),3072,3.722201,0.262362,1024
Hybrid Encrypt (1 MB),3072,2.273922,439.768900,1048576
Hybrid Decrypt (1 MB),3072,11.248651,88.899546,1048576
Hybrid Encrypt (100 MB),3072,221.896924,450.659695,104857600
Hybrid Decrypt (100 MB),3072,800.422398,124.934035,104857600
