Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,239.798891,0.000000,0
Key Generation,4096,467.396053,0.000000,0
RSA Encrypt,3072,0.045025,0.677796,32
RSA Decrypt,3072,3.712767,0.008220,32
RSA Encrypt,4096,0.048977,0.623098,32
RSA Decrypt,4096,4.889867,0.006241,32
Hybrid Encrypt (1 KB),3072,0.062691,15.577381,1024
Hybrid Decrypt (1 KB),3072,3.690065,0.264646,1024
Hybrid Encrypt (1 MB),3072,2.254581,443.541335,1048576
Hybrid Decrypt (1 MB),3072,10.874316,91.959804,1048576
Hybrid Encrypt (100 MB),3072,219.798138,454.962908,104857600
Hybrid Decrypt (100 MB),3072,796.772953,125.506268,104857600
