Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,217.362132,0.000000,0
Key Generation,4096,358.307883,0.000000,0
RSA Encrypt,3072,0.045168,0.675653,32
RSA Decrypt,3072,3.682929,0.008286,32
RSA Encrypt,4096,0.048761,0.625863,32
RSA Decrypt,4096,4.862587,0.006276,32
Hybrid Encrypt (1 KB),3072,0.062356,15.661113,1024
Hybrid Decrypt (1 KB),3072,3.707519,0.263401,1024
Hybrid Encrypt (1 MB),3072,2.298960,434.979371,1048576
Hybrid Decrypt (1 MB),3072,11.035253,90.618675,1048576
Hybrid Encrypt (100 MB),3072,216.584107,461.714395,104857600
Hybrid Decrypt (100 MB),3072,807.512267,123.837128,104857600
