Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,150.101306,0.000000,0
Key Generation,4096,296.101320,0.000000,0
RSA Encrypt,3072,0.046025,0.663066,32
RSA Decrypt,3072,3.907839,0.007809,32
RSA Encrypt,4096,0.049873,0.611901,32
RSA Decrypt,4096,4.972209,0.006138,32
Hybrid Encrypt (1 KB),3072,0.063611,15.352140,1024
Hybrid Decrypt (1 KB),3072,3.859778,0.253010,1024
Hybrid Encrypt (1 MB),3072,2.390951,418.243549,1048576
Hybrid Decrypt (1 MB),3072,11.304236,88.462411,1048576
Hybrid Encrypt (100 MB),3072,238.023498,420.126588,104857600
Hybrid Decrypt (100 MB),3072,823.267247,121.467240,104857600
