Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,115.847399,0.000000,0
Key Generation,4096,214.713008,0.000000,0
RSA Encrypt,3072,0.045877,0.665208,32
RSA Decrypt,3072,3.797357,0.008037,32
RSA Encrypt,4096,0.052158,0.585102,32
RSA Decrypt,4096,4.937108,0.006181,32
Hybrid Encrypt (1 KB),3072,0.065615,14.883193,1024
Hybrid Decrypt (1 KB),3072,3.816628,0.255870,1024
Hybrid Encrypt (1 MB),3072,2.355894,424.467387,1048576
Hybrid Decrypt (1 MB),3072,11.937708,83.768177,1048576
Hybrid Encrypt (100 MB),3072,218.868773,456.894781,104857600
Hybrid Decrypt (100 MB),3072,806.421659,124.004606,104857600
