Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,309.911847,0.000000,0
Key Generation,4096,213.140660,0.000000,0
RSA Encrypt,3072,0.046082,0.662243,32
RSA Decrypt,3072,3.734249,0.008172,32
RSA Encrypt,4096,0.050313,0.606550,32
RSA Decrypt,4096,4.963394,0.006149,32
Hybrid Encrypt (1 KB),3072,0.063258,15.437746,1024
Hybrid Decrypt (1 KB),3072,3.756476,0.259968,1024
Hybrid Encrypt (1 MB),3072,2.173211,460.148516,1048576
Hybrid Decrypt (1 MB),3072,11.076453,90.281610,1048576
Hybrid Encrypt (100 MB),3072,227.829850,438.924048,104857600
Hybrid Decrypt (100 MB),3072,814.319120,122.801980,104857600
