Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,195.445044,0.000000,0
Key Generation,4096,229.450681,0.000000,0
RSA Encrypt,3072,0.046054,0.662641,32
RSA Decrypt,3072,3.755026,0.008127,32
RSA Encrypt,4096,0.050246,0.607364,32
RSA Decrypt,4096,5.120847,0.005959,32
Hybrid Encrypt (1 KB),3072,0.066693,14.642623,1024
Hybrid Decrypt (1 KB),3072,3.772088,0.258892,1024
Hybrid Encrypt (1 MB),3072,2.346188,426.223231,1048576
Hybrid Decrypt (1 MB),3072,11.468135,87.198136,1048576
Hybrid Encrypt (100 MB),3072,214.420196,466.373979,104857600
Hybrid Decrypt (100 MB),3072,809.907253,123.470928,104857600
