Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,204.052395,0.000000,0
Key Generation,4096,382.696714,0.000000,0
RSA Encrypt,3072,0.045806,0.666242,32
RSA Decrypt,3072,3.774946,0.008084,32
RSA Encrypt,4096,0.050015,0.610172,32
RSA Decrypt,4096,5.012059,0.006089,32
Hybrid Encrypt (1 KB),3072,0.064105,15.233768,1024
Hybrid Decrypt (1 KB),3072,3.802132,0.256846,1024
Hybrid Encrypt (1 MB),3072,2.360504,423.638288,1048576
Hybrid Decrypt (1 MB),3072,11.195060,89.325115,1048576
Hybrid Encrypt (100 MB),3072,227.038251,440.454415,104857600
Hybrid Decrypt (100 MB),3072,847.826151,117.948709,104857600
