Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,126.933236,0.000000,0
Key Generation,4096,314.005467,0.000000,0
RSA Encrypt,3072,0.045629,0.668813,32
RSA Decrypt,3072,3.748175,0.008142,32
RSA Encrypt,4096,0.048866,0.624516,32
RSA Decrypt,4096,4.877678,0.006257,32
Hybrid Encrypt (1 KB),3072,0.062767,15.558638,1024
Hybrid Decrypt (1 KB),3072,3.716602,0.262757,1024
Hybrid Encrypt (1 MB),3072,2.211911,452.097756,1048576
Hybrid Decrypt (1 MB),3072,11.765970,84.990864,1048576
Hybrid Encrypt (100 MB),3072,228.725341,437.205600,104857600
Hybrid Decrypt (100 MB),3072,813.744006,122.888770,104857600
