Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,141.151201,0.000000,0
Key Generation,4096,449.268914,0.000000,0
RSA Encrypt,3072,0.045956,0.664064,32
RSA Decrypt,3072,3.765573,0.008104,32
RSA Encrypt,4096,0.049166,0.620704,32
RSA Decrypt,4096,4.948429,0.006167,32
Hybrid Encrypt (1 KB),3072,0.064164,15.219812,1024
Hybrid Decrypt (1 KB),3072,3.704842,0.263591,1024
Hybrid Encrypt (1 MB),3072,2.406385,415.561101,1048576
Hybrid Decrypt (1 MB),3072,10.803671,92.561130,1048576
Hybrid Encrypt (100 MB),3072,222.362539,449.716038,104857600
Hybrid Decrypt (100 MB),3072,805.017895,124.220841,104857600
