Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,142.941585,0.000000,0
Key Generation,4096,247.967046,0.000000,0
RSA Encrypt,3072,0.044618,0.683979,32
RSA Decrypt,3072,3.677884,0.008298,32
RSA Encrypt,4096,0.048358,0.631070,32
RSA Decrypt,4096,4.960581,0.006152,32
Hybrid Encrypt (1 KB),3072,0.063155,15.462909,1024
Hybrid Decrypt (1 KB),3072,3.727624,0.261980,1024
Hybrid Encrypt (1 MB),3072,2.284135,437.802475,1048576
Hybrid Decrypt (1 MB),3072,10.884611,91.872829,1048576
Hybrid Encrypt (100 MB),3072,226.489160,441.522234,104857600
Hybrid Decrypt (100 MB),3072,803.290285,124.487999,104857600
