Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,255.371435,0.000000,0
Key Generation,4096,538.162095,0.000000,0
RSA Encrypt,3072,0.046152,0.661246,32
RSA Decrypt,3072,3.801834,0.008027,32
RSA Encrypt,4096,0.050270,0.607077,32
RSA Decrypt,4096,5.004351,0.006098,32
Hybrid Encrypt (1 KB),3072,0.063124,15.470621,1024
Hybrid Decrypt (1 KB),3072,3.802474,0.256823,1024
Hybrid Encrypt (1 MB),3072,2.302869,434.240921,1048576
Hybrid Decrypt (1 MB),3072,10.892799,91.803770,1048576
Hybrid Encrypt (100 MB),3072,218.806903,457.023972,104857600
Hybrid Decrypt (100 MB),3072,827.453177,120.852760,104857600
