Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,206.775619,0.000000,0
Key Generation,4096,334.818110,0.000000,0
RSA Encrypt,3072,0.045082,0.676932,32
RSA Decrypt,3072,3.686489,0.008278,32
RSA Encrypt,4096,0.048755,0.625935,32
RSA Decrypt,4096,4.865969,0.006272,32
Hybrid Encrypt (1 KB),3072,0.065521,14.904523,1024
Hybrid Decrypt (1 KB),3072,3.706921,0.263443,1024
Hybrid Encrypt (1 MB),3072,2.374551,421.132195,1048576
Hybrid Decrypt (1 MB),3072,10.980790,91.068129,1048576
Hybrid Encrypt (100 MB),3072,217.307118,460.178207,104857600
Hybrid Decrypt (100 MB),3072,804.676419,124.273556,104857600
