Test Name,Key Bits,Time (ms),Throughput (MB/s),Data Size (bytes)
Key Generation,3072,168.560997,0.000000,0
Key Generation,4096,461.898317,0.000000,0
RSA Encrypt,3072,0.045192,0.675283,32
RSA Decrypt,3072,3.790386,0.008051,32
RSA Encrypt,4096,0.049673,0.614369,32
RSA Decrypt,4096,4.892441,0.006238,32
Hybrid Encrypt (1 KB),3072,0.062047,15.739046,1024
Hybrid Decrypt (1 KB),3072,3.694345,0.264340,1024
Hybrid Encrypt (1 MB),3072,2.240827,446.263733,1048576
Hybrid Decrypt (1 MB),3072,11.366773,87.975714,1048576
Hybrid Encrypt (100 MB),3072,220.588951,453.331862,104857600
Hybrid Decrypt (100 MB),3072,803.202716,124.501571,104857600
